Country,Code ,Spending,Learning
Australia,AUS ,107139.8549,42.5805561
Austria,AUT,139674.5564,44.79306198
Belgium,BEL,113045.1298,43.06380535
Canada,CAN,96144.74437,45.23920166
Chile,CHL,50148.81106,50.10881682
Colombia,COL,30112.75929,46.30202918
Czech Republic,CZE,69143.45717,41.25753587
Denmark,DNK,NA,46.03246042
Estonia,EST,64314.72242,42.8317009
Finland,FIN,110531.8032,36.10319992
France,FRA,91849.60538,42.6114881
Germany,DEU,98557.21734,36.54024405
Greece,GRC,62645.14181,48.35213984
Hungary,HUN,53002.2942,43.88381551
Iceland,ISL,117120.5753,41.32614537
Ireland,IRL,89934.55077,44.21410893
Israel,ISR,79776.00855,45.50878211
Italy,ITA,87839.99337,49.78380023
Japan,JPN,98030.18619,41.13727416
Korea,KOR,112607.8544,50.49451814
Latvia,LVA,65514.66081,43.33120254
Lithuania,LTU,53133.23982,43.17701456
Luxembourg,LUX,208531.3072,42.18773587
Mexico,MEX,29014.51511,47.93591838
Netherlands,NLD,101580.9558,40.9554374
New Zealand,NZL,84730.14728,41.94487885
Norway,NOR,136383.4692,42.95310907
Poland,POL,67719.74852,46.37720805
Portugal,PRT,82452.42693,45.38886552
Slovak Republic,SVK,66012.04928,42.92786195
Slovenia,SVN,88255.00806,44.45120514
Spain,ESP,79488.20923,NA
Sweden,SWE,113811.7456,39.64875324
Switzerland,CHE,NA,38.43353696
Turkey,TUR,37558.77404,50.43916466
United Kingdom,GBR,110491.6813,43.42493047
United States,USA,121916.7036,48.10896563
Albania,ALB,NA,NA
Argentina,ARG,43964.1549,NA
Azerbaijan,AZE,NA,NA
Belarus,BLR,47422.33789,NA
Bosnia and Herzegovina,BIH,28431.11726,NA
Brazil,BRA,37954.40843,46.68083421
Brunei Darussalam,BRN,118869.3064,NA
B-S-J-Z (China),,NA,57.14361088
Bulgaria,BGR,31029.29266,43.63679528
Costa Rica,CRI,NA,49.54879055
Croatia,HRV,52491.11868,45.9333857
Cyprus,CYP,104314.8604,NA
Dominican Republic,DOM,26481.06817,50.12547888
Georgia,GEO,NA,NA
Hong Kong (China),HKG,91365.88705,46.43859127
Indonesia,IDN,14716.87647,NA
Jordan,JOR,19362.53236,NA
Kazakhstan,KAZ,24977.88746,NA
Kosovo,XKX,NA,NA
Lebanon,LBN,NA,NA
Macao (China),MAC,149233.8895,44.5363383
Malaysia,MYS,60899.00561,NA
Malta,MLT,83218.46357,NA
Moldova,MDA,21350.89757,NA
Montenegro,MNE,22032.2826,50.19127168
Morocco,MAR,NA,NA
North Macedonia,MKD,30220.00247,NA
Panama,PAN,20421.64148,NA
Peru,PER,27339.21707,50.09659668
Philippines,PHL,8473.563581,NA
Qatar,QAT,325968.0265,54.41312694
Romania,ROU,24607.74051,NA
Russia,RUS,43728.09778,48.46854866
Saudi Arabia,SAU,NA,NA
Serbia,SRB,24292.27438,NA
Singapore,SGP,109059.6598,50.77409583
Chinese Taipei,TWN,100757.8756,48.16604795
Thailand,THA,27271.36505,55.29173687
Ukraine,UKR,26646.71279,NA
United Arab Emirates,ARE,NA,58.49632371
Uruguay,URY,43063.20665,39.4947188
Viet Nam,VNM,NA,NA